title,completedOn
Anatomy of a Murder (12/17/16),
The Boys in the Boat (10/15/16),
The Cuckoo's Calling (10/2/16),
Strangers on a Train (8/19/16),
I Let You Go (8/11/16),
Bonk (7/29/16),
Alexander Hamilton (5/15/16),
The Big Sleep (2/27/16),
H is for Hawk (2/7/16),
Farewell My Lovely (1/9/16),
