title,completedOn
The Martian (11/27/15),
Packing for Mars (9/19/15),
Dataclysm(9/17/15),
An Astronaut's Guide to Life on Earth (9/15/15),
Boyd (8/28/15),
Seveneves (7/23/15),
Stardust (7/22/15),
Dead Wake (6/27/15),
Becoming Steve Jobs (6/16/15),
Building Microservices (5/30/15),
The Sisters Brothers (5/24/15),
Deadwood (4/4/15),
The Casual Vacancy (2/28/15),
The Formula (1/21/15),
Higher, Faster, Stronger (1/2/15),
