title,completedOn
Coyote Blue (9/5/22)
Build (9/3/22)
Razzmatazz (8/20/22)
Dead in the Water (8/7/22)
The Secret Adversary (7/7/22)
Noir (6/28/22)
The Long Walk (5/28/22)
Working Backwards (5/14/22)
Termination Shock (4/24/22)
A Walk in the Woods (4/21/22)
The DevOps Handbook 2nd Ed. (2/21/22)
Head First Go (2/9/22)
Turn the Ship Around! (1/17/22)
