title,completedOn
The Book Thief (12/29/13),
The Power of Habit (12/20/13),
Team of Rivals (8/3/13),
The Art Thief (6/17/13),
Recursion (6/8/13),
No Easy Day (5/16/13),
Killing Lincoln (3/16/13),
Quicksilver (3/3/13),
Some Remarks (1/29/13),
