title,completedOn
A Dirty Job (12/25/09),
The Shadow Of The Wind (12/09/09),
Coders at Work (11/25/09),
The Magicians (9/25/09),
The September Society (8/17/09),
Fool (7/28/09),
The Complete Game (7/26/09),
Beginning Scala (7/20/09),
My Name is Will (7/2/09),
Using Google App Engine (6/19/09),
The Good Thief's Guide to Amsterdam (5/18/09),
On Writing by Steven King (5/14/09),
Programming in Scala (5/1/09)
