title,completedOn
How Music Works (12/21/12),
The Uninvited Guests (11/25/12),
The Name of this Book is Secret (10/31/12),
Ready Player One (9/28/12),
Design for Hackers (9/15/12),
Under the Dome (8/15/12),
Designing For Emotion (7/10/12),
Developing Backbone.js Applications (7/8/12),
Cryptonomicon (6/16/12),
Insanely Simple (5/13/12),
Steve Jobs (4/3/12),
The Hobbit (3/25/12),
Magyk (3/25/12),
The Science of Yoga (3/16/12),
The Westing Game (2/25/12),
Boomerang (2/6/12),
Going Postal (1/21/12),
Hedy's Folly (1/17/12),
The Baker Street Letters (1/16/12)
