title,completedOn
Man's Search for Meaning (12/18/21),
A Christmas Carol (12/13/21)
Tribe (11/29/21),
Skunkworks (11/28/21),
Station Eleven (8/29/21),
Grokking Simplicity (8/10/21),
Magic for Liars (7/24/21),
Project Hail Mary (7/11/21),
Living Clojure (7/9/21),
Team of Teams (6/20/21),
James Joyce: Portrait of a Dubliner (5/28/21),
Lethal White (5/11/21),
The Immortal Irishman (5/4/21)
The Bomber Mafia (5/3/21)
Masie Dobbs (4/11/21),
A Ride of a Lifetime (1/2/21),
