title,completedOn
Smartcuts (12/31/14),
Sacre Blue (12/6/14),
Hamlet, Prince of Denmark (10/15/14),
Flash Boys (9/14/14),
Blood, Bones and Butter (8/27/14),
Up in Honey's Room (8/11/14),
The Thin Man (7/26/14),
George Washington's Secret Six (7/18/14),
The Maltese Falcon (7/6/14),
Reamde (7/3/14),
Dodger (6/28/14),
The Signal and the Noise (5/10/14),
The Goldfinch (4/19/14),
The Year Without Pants (2/1/14),
The Art of Making Money (1/8/14),
